ID,lookupType,code,name,description,parent_ID,sequence,isDefault,isActive
a1000000-0000-4000-8000-000000000001,IMPACT,HIGH,High,Widespread outage affecting many users,,10,false,true
a1000000-0000-4000-8000-000000000002,IMPACT,MEDIUM,Medium,Affects a single team or department,,20,true,true
a1000000-0000-4000-8000-000000000003,IMPACT,LOW,Low,Affects a single user,,30,false,true
a2000000-0000-4000-8000-000000000001,URGENCY,HIGH,High,Work is completely blocked,,10,false,true
a2000000-0000-4000-8000-000000000002,URGENCY,MEDIUM,Medium,Workaround exists but is slow,,20,true,true
a2000000-0000-4000-8000-000000000003,URGENCY,LOW,Low,Can be scheduled for later,,30,false,true
a3000000-0000-4000-8000-000000000001,PRIORITY,P1,P1 - Very High,Immediate response required,,10,false,true
a3000000-0000-4000-8000-000000000002,PRIORITY,P2,P2 - High,Response within 4 hours,,20,false,true
a3000000-0000-4000-8000-000000000003,PRIORITY,P3,P3 - Medium,Response within 1 business day,,30,true,true
a3000000-0000-4000-8000-000000000004,PRIORITY,P4,P4 - Low,Response within 5 business days,,40,false,true
a4000000-0000-4000-8000-000000000001,STATUS,NEW,New,Ticket has been created,,10,true,true
a4000000-0000-4000-8000-000000000002,STATUS,IN_PROCESS,In Process,Being worked on by support,,20,false,true
a4000000-0000-4000-8000-000000000003,STATUS,CUSTOMER_ACTION,Customer Action,Waiting on the reporter,,30,false,true
a4000000-0000-4000-8000-000000000004,STATUS,SOLUTION_PROPOSED,Solution Proposed,Fix proposed awaiting confirmation,,40,false,true
a4000000-0000-4000-8000-000000000005,STATUS,CONFIRMED,Confirmed,Reporter confirmed the fix,,50,false,true
a4000000-0000-4000-8000-000000000006,STATUS,CLOSED,Closed,Ticket closed,,60,false,true
c1000000-0000-4000-8000-000000000001,SOLUTION,FIXED,Permanent Fix,Root cause resolved,,10,false,true
c1000000-0000-4000-8000-000000000002,SOLUTION,WORKAROUND,Workaround Provided,Temporary measure in place,,20,false,true
c1000000-0000-4000-8000-000000000003,SOLUTION,REPLACED,Hardware Replaced,Faulty part swapped out,,30,false,true
c1000000-0000-4000-8000-000000000004,SOLUTION,USER_EDU,User Education,Guidance given to the user,,40,false,true
c1000000-0000-4000-8000-000000000005,SOLUTION,NO_FAULT,No Fault Found,Issue could not be reproduced,,50,false,true
c1000000-0000-4000-8000-000000000006,SOLUTION,DUPLICATE,Duplicate,Duplicate of another ticket,,60,false,true
b1000000-0000-4000-8000-000000000001,CATEGORY1,HARDWARE,Hardware,Physical equipment,,10,false,true
b1000000-0000-4000-8000-000000000002,CATEGORY1,SOFTWARE,Software,Applications and operating systems,,20,false,true
b1000000-0000-4000-8000-000000000003,CATEGORY1,NETWORK,Network,Connectivity and infrastructure,,30,false,true
b1000000-0000-4000-8000-000000000004,CATEGORY1,ACCESS,Access & Security,Accounts permissions and access,,40,false,true
b2000000-0000-4000-8000-000000000001,CATEGORY2,LAPTOP,Laptop,Portable workstations,b1000000-0000-4000-8000-000000000001,10,false,true
b2000000-0000-4000-8000-000000000002,CATEGORY2,DESKTOP,Desktop,Fixed workstations,b1000000-0000-4000-8000-000000000001,20,false,true
b2000000-0000-4000-8000-000000000003,CATEGORY2,PRINTER,Printer,Printers and print services,b1000000-0000-4000-8000-000000000001,30,false,true
b2000000-0000-4000-8000-000000000004,CATEGORY2,MONITOR,Monitor,Displays and screens,b1000000-0000-4000-8000-000000000001,40,false,true
b2000000-0000-4000-8000-000000000005,CATEGORY2,KEYBOARD,Keyboard,Keyboards,b1000000-0000-4000-8000-000000000001,50,false,true
b2000000-0000-4000-8000-000000000006,CATEGORY2,MOUSE,Mouse,Pointing devices,b1000000-0000-4000-8000-000000000001,60,false,true
b2000000-0000-4000-8000-000000000007,CATEGORY2,SCANNER,Scanner,Scanning devices,b1000000-0000-4000-8000-000000000001,70,false,true
b2000000-0000-4000-8000-000000000008,CATEGORY2,SERVER,Server,Server hardware,b1000000-0000-4000-8000-000000000001,80,false,true
b2000000-0000-4000-8000-000000000009,CATEGORY2,STORAGE,Storage Device,Disks and external storage,b1000000-0000-4000-8000-000000000001,90,false,true
b2000000-0000-4000-8000-000000000010,CATEGORY2,OS,Operating System,Desktop and server operating systems,b1000000-0000-4000-8000-000000000002,10,false,true
b2000000-0000-4000-8000-000000000011,CATEGORY2,MSOFFICE,Microsoft Office,Office productivity suite,b1000000-0000-4000-8000-000000000002,20,false,true
b2000000-0000-4000-8000-000000000012,CATEGORY2,SAP,SAP,SAP business applications,b1000000-0000-4000-8000-000000000002,30,false,true
b2000000-0000-4000-8000-000000000013,CATEGORY2,BROWSER,Browser,Web browsers,b1000000-0000-4000-8000-000000000002,40,false,true
b2000000-0000-4000-8000-000000000014,CATEGORY2,ANTIVIRUS,Antivirus,Endpoint protection,b1000000-0000-4000-8000-000000000002,50,false,true
b2000000-0000-4000-8000-000000000015,CATEGORY2,DATABASE,Database,Database platforms,b1000000-0000-4000-8000-000000000002,60,false,true
b2000000-0000-4000-8000-000000000016,CATEGORY2,DEVTOOLS,Development Tools,IDEs and developer tooling,b1000000-0000-4000-8000-000000000002,70,false,true
b2000000-0000-4000-8000-000000000017,CATEGORY2,VPN,VPN,Remote access,b1000000-0000-4000-8000-000000000003,10,false,true
b2000000-0000-4000-8000-000000000018,CATEGORY2,WIFI,Wi-Fi,Wireless connectivity,b1000000-0000-4000-8000-000000000003,20,false,true
b2000000-0000-4000-8000-000000000019,CATEGORY2,LAN,LAN / Ethernet,Wired connectivity,b1000000-0000-4000-8000-000000000003,30,false,true
b2000000-0000-4000-8000-000000000020,CATEGORY2,FIREWALL,Firewall,Perimeter security,b1000000-0000-4000-8000-000000000003,40,false,true
b2000000-0000-4000-8000-000000000021,CATEGORY2,INTERNET,Internet Access,Outbound internet connectivity,b1000000-0000-4000-8000-000000000003,50,false,true
b2000000-0000-4000-8000-000000000022,CATEGORY2,AD,Active Directory,Directory services,b1000000-0000-4000-8000-000000000004,10,false,true
b2000000-0000-4000-8000-000000000023,CATEGORY2,PWD,Password Reset,Credential resets,b1000000-0000-4000-8000-000000000004,20,false,true
b2000000-0000-4000-8000-000000000024,CATEGORY2,EMAIL_ACC,Email Account,Mailbox administration,b1000000-0000-4000-8000-000000000004,30,false,true
b2000000-0000-4000-8000-000000000025,CATEGORY2,APP_ACCESS,Application Access,Application permissions,b1000000-0000-4000-8000-000000000004,40,false,true
b3000000-0000-4000-8000-000000000001,CATEGORY3,WINDOWS,Windows,Microsoft Windows,b2000000-0000-4000-8000-000000000010,10,false,true
b3000000-0000-4000-8000-000000000002,CATEGORY3,LINUX,Linux,Linux distributions,b2000000-0000-4000-8000-000000000010,20,false,true
b3000000-0000-4000-8000-000000000003,CATEGORY3,MACOS,macOS,Apple macOS,b2000000-0000-4000-8000-000000000010,30,false,true
b3000000-0000-4000-8000-000000000004,CATEGORY3,LT_NOT_STARTING,Not Starting,Laptop will not power on,b2000000-0000-4000-8000-000000000001,10,false,true
b3000000-0000-4000-8000-000000000005,CATEGORY3,LT_BATTERY,Battery,Battery problems,b2000000-0000-4000-8000-000000000001,20,false,true
b3000000-0000-4000-8000-000000000006,CATEGORY3,LT_SCREEN,Screen,Display problems,b2000000-0000-4000-8000-000000000001,30,false,true
b3000000-0000-4000-8000-000000000007,CATEGORY3,LT_SLOW,Slow Performance,Laptop runs slowly,b2000000-0000-4000-8000-000000000001,40,false,true
b3000000-0000-4000-8000-000000000008,CATEGORY3,DT_NOT_STARTING,Not Starting,Desktop will not power on,b2000000-0000-4000-8000-000000000002,10,false,true
b3000000-0000-4000-8000-000000000009,CATEGORY3,DT_PERIPHERAL,Peripheral Issue,Attached device not working,b2000000-0000-4000-8000-000000000002,20,false,true
b3000000-0000-4000-8000-000000000010,CATEGORY3,PR_JAM,Paper Jam,Paper jam,b2000000-0000-4000-8000-000000000003,10,false,true
b3000000-0000-4000-8000-000000000011,CATEGORY3,PR_QUEUE,Print Queue,Queue stuck or stalled,b2000000-0000-4000-8000-000000000003,20,false,true
b3000000-0000-4000-8000-000000000012,CATEGORY3,PR_TONER,Toner / Ink,Consumables,b2000000-0000-4000-8000-000000000003,30,false,true
b3000000-0000-4000-8000-000000000013,CATEGORY3,PR_OFFLINE,Printer Offline,Printer shows offline,b2000000-0000-4000-8000-000000000003,40,false,true
b3000000-0000-4000-8000-000000000014,CATEGORY3,SV_DOWN,Server Down,Server unreachable,b2000000-0000-4000-8000-000000000008,10,false,true
b3000000-0000-4000-8000-000000000015,CATEGORY3,SV_DISK,Disk Full,Storage exhausted,b2000000-0000-4000-8000-000000000008,20,false,true
b3000000-0000-4000-8000-000000000016,CATEGORY3,OFF_OUTLOOK,Outlook,Mail client,b2000000-0000-4000-8000-000000000011,10,false,true
b3000000-0000-4000-8000-000000000017,CATEGORY3,OFF_EXCEL,Excel,Spreadsheets,b2000000-0000-4000-8000-000000000011,20,false,true
b3000000-0000-4000-8000-000000000018,CATEGORY3,OFF_WORD,Word,Documents,b2000000-0000-4000-8000-000000000011,30,false,true
b3000000-0000-4000-8000-000000000019,CATEGORY3,OFF_TEAMS,Teams,Collaboration,b2000000-0000-4000-8000-000000000011,40,false,true
b3000000-0000-4000-8000-000000000020,CATEGORY3,SAP_GUI,SAP GUI,SAP desktop client,b2000000-0000-4000-8000-000000000012,10,false,true
b3000000-0000-4000-8000-000000000021,CATEGORY3,SAP_FIORI,SAP Fiori,Fiori launchpad and apps,b2000000-0000-4000-8000-000000000012,20,false,true
b3000000-0000-4000-8000-000000000022,CATEGORY3,SAP_AUTH,SAP Authorisation,Roles and authorisations,b2000000-0000-4000-8000-000000000012,30,false,true
b3000000-0000-4000-8000-000000000023,CATEGORY3,BR_CHROME,Chrome,Google Chrome,b2000000-0000-4000-8000-000000000013,10,false,true
b3000000-0000-4000-8000-000000000024,CATEGORY3,BR_EDGE,Edge,Microsoft Edge,b2000000-0000-4000-8000-000000000013,20,false,true
b3000000-0000-4000-8000-000000000025,CATEGORY3,BR_FIREFOX,Firefox,Mozilla Firefox,b2000000-0000-4000-8000-000000000013,30,false,true
b3000000-0000-4000-8000-000000000026,CATEGORY3,DB_HANA,SAP HANA,HANA database,b2000000-0000-4000-8000-000000000015,10,false,true
b3000000-0000-4000-8000-000000000027,CATEGORY3,DB_SQLSERVER,SQL Server,Microsoft SQL Server,b2000000-0000-4000-8000-000000000015,20,false,true
b3000000-0000-4000-8000-000000000028,CATEGORY3,DB_ORACLE,Oracle,Oracle database,b2000000-0000-4000-8000-000000000015,30,false,true
b3000000-0000-4000-8000-000000000029,CATEGORY3,VPN_CONNECT,Cannot Connect,VPN will not connect,b2000000-0000-4000-8000-000000000017,10,false,true
b3000000-0000-4000-8000-000000000030,CATEGORY3,VPN_DROP,Connection Drops,VPN disconnects intermittently,b2000000-0000-4000-8000-000000000017,20,false,true
b3000000-0000-4000-8000-000000000031,CATEGORY3,WIFI_WEAK,Weak Signal,Poor wireless coverage,b2000000-0000-4000-8000-000000000018,10,false,true
b3000000-0000-4000-8000-000000000032,CATEGORY3,WIFI_AUTH,Authentication Failure,Cannot authenticate to Wi-Fi,b2000000-0000-4000-8000-000000000018,20,false,true
b3000000-0000-4000-8000-000000000033,CATEGORY3,AD_LOCKED,Account Locked,Account lockout,b2000000-0000-4000-8000-000000000022,10,false,true
b3000000-0000-4000-8000-000000000034,CATEGORY3,AD_GROUP,Group Membership,Directory group changes,b2000000-0000-4000-8000-000000000022,20,false,true
b3000000-0000-4000-8000-000000000035,CATEGORY3,EM_FULL,Mailbox Full,Mailbox quota exceeded,b2000000-0000-4000-8000-000000000024,10,false,true
b3000000-0000-4000-8000-000000000036,CATEGORY3,EM_DIST,Distribution List,Distribution list changes,b2000000-0000-4000-8000-000000000024,20,false,true
b4000000-0000-4000-8000-000000000001,CATEGORY4,WIN10,Windows 10,Windows 10 clients,b3000000-0000-4000-8000-000000000001,10,false,true
b4000000-0000-4000-8000-000000000002,CATEGORY4,WIN11,Windows 11,Windows 11 clients,b3000000-0000-4000-8000-000000000001,20,false,true
b4000000-0000-4000-8000-000000000003,CATEGORY4,WS2019,Windows Server 2019,Windows Server 2019,b3000000-0000-4000-8000-000000000001,30,false,true
b4000000-0000-4000-8000-000000000004,CATEGORY4,WS2022,Windows Server 2022,Windows Server 2022,b3000000-0000-4000-8000-000000000001,40,false,true
b4000000-0000-4000-8000-000000000005,CATEGORY4,RHEL,Red Hat Enterprise Linux,RHEL servers,b3000000-0000-4000-8000-000000000002,10,false,true
b4000000-0000-4000-8000-000000000006,CATEGORY4,UBUNTU,Ubuntu,Ubuntu systems,b3000000-0000-4000-8000-000000000002,20,false,true
b4000000-0000-4000-8000-000000000007,CATEGORY4,SUSE,SUSE Linux,SUSE systems,b3000000-0000-4000-8000-000000000002,30,false,true
b4000000-0000-4000-8000-000000000008,CATEGORY4,VENTURA,macOS Ventura,macOS 13,b3000000-0000-4000-8000-000000000003,10,false,true
b4000000-0000-4000-8000-000000000009,CATEGORY4,SONOMA,macOS Sonoma,macOS 14,b3000000-0000-4000-8000-000000000003,20,false,true
b4000000-0000-4000-8000-000000000010,CATEGORY4,BAT_NO_CHARGE,Not Charging,Battery does not charge,b3000000-0000-4000-8000-000000000005,10,false,true
b4000000-0000-4000-8000-000000000011,CATEGORY4,BAT_DRAIN,Drains Quickly,Battery drains rapidly,b3000000-0000-4000-8000-000000000005,20,false,true
b4000000-0000-4000-8000-000000000012,CATEGORY4,OL_SEND,Cannot Send,Outbound mail fails,b3000000-0000-4000-8000-000000000016,10,false,true
b4000000-0000-4000-8000-000000000013,CATEGORY4,OL_RECV,Cannot Receive,Inbound mail fails,b3000000-0000-4000-8000-000000000016,20,false,true
b4000000-0000-4000-8000-000000000014,CATEGORY4,OL_PROFILE,Profile Corrupt,Outlook profile rebuild,b3000000-0000-4000-8000-000000000016,30,false,true
b4000000-0000-4000-8000-000000000015,CATEGORY4,GUI_INSTALL,Installation,SAP GUI installation,b3000000-0000-4000-8000-000000000020,10,false,true
b4000000-0000-4000-8000-000000000016,CATEGORY4,GUI_CONNECT,Connection Error,Cannot reach SAP system,b3000000-0000-4000-8000-000000000020,20,false,true
b4000000-0000-4000-8000-000000000017,CATEGORY4,CH_CRASH,Crashes,Browser crashes,b3000000-0000-4000-8000-000000000023,10,false,true
b4000000-0000-4000-8000-000000000018,CATEGORY4,CH_EXT,Extension Issue,Extension misbehaving,b3000000-0000-4000-8000-000000000023,20,false,true
b4000000-0000-4000-8000-000000000019,CATEGORY4,LOCK_REPEAT,Repeated Lockout,Account locks repeatedly,b3000000-0000-4000-8000-000000000033,10,false,true
b4000000-0000-4000-8000-000000000020,CATEGORY4,LOCK_UNLOCK,Unlock Request,One-off unlock,b3000000-0000-4000-8000-000000000033,20,false,true
